Document,Topic_group,Priority
404 error on the internal wiki page,Access,Medium
Tax deduction is higher than calculated,HR Support,Medium
Microphone volume is too low on Zoom,Hardware,Low
We need to renew our SSL wildcard certificate,Purchase,High
Cannot print from the guest WiFi,Access,Medium
Payslip PDF is corrupted,HR Support,Low
My external HDD is making clicking sounds,Hardware,High
I need a 4K monitor for design work,Purchase,Low
Software update failed with error 1603,Access,Medium
Client was charged twice for the same invoice,Billing,High
How do I add my newborn to insurance?,HR Support,Low
The shredder bin is full,Hardware,Low
I need a license for Microsoft Project,Purchase,Low
Cannot connect to the office VPN from home,Access,High
My chair gas lift is sinking,Hardware,Low
Please update the billing contact email,Billing,Low
I need access to the production logs folder,Access,Medium
Laptop screen bezel is cracked,Hardware,Medium
Where can I find the travel expense template?,HR Support,Low
I forgot the password for the admin console,Access,High
We need to buy 50 ballpoint pens,Purchase,Low
The conference speakerphone is muffled,Hardware,Low
Invoice #882 is 30 days overdue,Billing,Medium
I cannot login to Salesforce Sandbox,Access,High
My computer freezes when opening Chrome,Hardware,Medium
Requesting a footrest under my desk,Purchase,Low
Is there a casual dress code on Fridays?,HR Support,Low
VPN client says 'Certificate Invalid',Access,High
My laptop battery drains in 30 minutes,Hardware,High
Update address on the next invoice #332,Billing,Low
Please order a privacy screen filter 14 inch,Purchase,Low
I cannot access the leave management system,Access,High
System asks for admin rights to install font,Access,Medium
My headset is only playing audio on left side,Hardware,Low
We need a license for Tableau Creator,Purchase,Low
Discrepancy in night shift allowance,HR Support,Medium
I need to reset my voicemail PIN,Access,Low
Fan noise is distracting during calls,Hardware,Low
Quote for new firewall appliance,Purchase,Medium
Customer #221 wants a partial credit,Billing,Medium
How do I claim LTA for my family?,HR Support,Low
I need a new lanyard clip,HR Support,Low
The coffee machine is displaying error 5,Hardware,Low
Internet is slow in the break room,Hardware,Low
I need to install Python 3.12,Access,Low
Revoke access for the ex-employee John Doe,Access,High
Monitor is too dim even at max settings,Hardware,Low
We need to buy a license for Monday.com,Purchase,Low
Where do I submit medical bills for reimbursement?,HR Support,Low
Cannot connect to the LDAP server,Access,High
The backup server is offline,Access,High
Spacebar is squeaking loudly,Hardware,Low
Requesting a quote for a 3D printer filament,Purchase,Low
Billing issue with vendor X Invoice #99,Billing,Medium
I did not receive my on-call allowance,HR Support,Medium
Email signature is not updating in Outlook,Access,Low
I need a spare USB-C charger,Hardware,Low
We need to purchase a 4K webcam for the boardroom,Purchase,Low
The server room door lock is jammed,Hardware,High
Forgot password for the wiki admin,Access,Medium
How many privilege leaves can I encash?,HR Support,Low
My desktop won't post on boot,Hardware,High
Please order 10 USB-C to HDMI adapters,Purchase,Low
502 Bad Gateway on the intranet portal,Access,Medium
TDS deduction is incorrect for March,HR Support,Medium
Webcam focus is broken on my laptop,Hardware,Low
We need to renew the Office 365 E3 subscription,Purchase,High
Cannot scan to email from printer 2,Access,Medium
Payslip portal is showing white screen,HR Support,High
My USB drive is write-protected,Hardware,Medium
I need a vertical ergonomic mouse,Purchase,Low
Application crashes on launch with error X,Access,Medium
Client disputes the hourly rate charge,Billing,Medium
How do I change my emergency contact number?,HR Support,Low
The laminator is overheating and smoking,Hardware,High
I need a license for Sketch App,Purchase,Low
Cannot connect to the VPN from hotel wifi,Access,Medium
My desk drawer key is missing,Hardware,Low
Please update the PO number on invoice #551,Billing,Low
I need access to the analytics dashboard,Access,Medium
Laptop hinge is loose and wobbling,Hardware,Low
Where can I find the employee handbook PDF?,HR Support,Low
I forgot the root password for server 2,Access,High
We need to buy 20 notepads,Purchase,Low
The TV in the lobby has no signal,Hardware,Low
Invoice #771 was sent to personal email,Billing,Medium
I cannot login to Jira Cloud,Access,High
My computer is slow to boot up,Hardware,Low
Requesting a lumbar support cushion,Purchase,Low
What are the core working hours?,HR Support,Low
VPN authentication failed with timeout,Access,High
My laptop battery is swelling and pushing the trackpad,Hardware,High
Correction needed on invoice #554 date,Billing,Low
Please order a laptop stand aluminum,Purchase,Low
I cannot access the performance review tool,Access,Medium
System keeps locking me out every 5 mins,Access,High
My headset wire is frayed and exposed,Hardware,Low
We need a license for JetBrains All Products Pack,Purchase,Low
Bonus calculation seems wrong for Q4,HR Support,Medium
I need to reset my biometrics data,Access,Medium
Hard drive makes clicking sound constantly,Hardware,High
Quote for cloud storage expansion 5TB,Purchase,Medium
Customer #112 is asking for a discount code,Billing,Low
How do I claim mobile bill reimbursement?,HR Support,Low
I need a new parking sticker for my car,HR Support,Low
The vending machine took my money,Hardware,Low
Internet speed is below 1Mbps in lab,Hardware,High
I need to install Node.js LTS,Access,Low
Grant me access to the staging environment,Access,Medium
Screen colors are inverted on my monitor,Hardware,Medium
We need to buy a license for Trello Gold,Purchase,Low
Where do I submit 80C investment proofs?,HR Support,Low
Cannot access the marketing file server,Access,High
The mail server is blacklisted by Spamhaus,Access,High
Enter key is not registering press,Hardware,Medium
Requesting a quote for a portable projector,Purchase,Low
Billing currency needs to be changed to USD,Billing,Low
I did not receive my variable pay for H2,HR Support,High
Email is going to spam folder,Access,Medium
I need a replacement for my broken mouse,Hardware,Low
We need to purchase a UPS for the router,Purchase,Medium
The fire alarm panel is beeping continuously,Hardware,High
Forgot password for the time tracker,Access,Medium
How many comp offs do I have valid?,HR Support,Low
My laptop screen is black but power is on,Hardware,High
Please order 20 sticky note pads,Purchase,Low
403 Forbidden on the HR portal login,Access,High
Professional tax is deducted twice in Jan,HR Support,Medium
Speaker is crackling at high volume,Hardware,Low
We need to renew the antivirus license for 50 users,Purchase,High
Cannot print double-sided on Printer 1,Hardware,Low
Payslip is blank for this month,HR Support,High
My SSD is full need cleanup,Hardware,Medium
I need a dual monitor arm mount,Purchase,Low
Software license expired error on AutoCAD,Access,High
Client claims they already paid invoice #33,Billing,High
How do I update my marital status in records?,HR Support,Low
The paper shredder is jammed again,Hardware,Low
I need a license for CorelDraw Graphics Suite,Purchase,Low
Cannot connect to the guest WiFi network,Access,Low
My chair wheel is broken off,Hardware,Low
Please split the invoice into two payments,Billing,Low
I need access to the marketing folder,Access,Low
Laptop trackpad is unresponsive to clicks,Hardware,Medium
Where can I find the sexual harassment policy?,HR Support,Low
I forgot the wifi password for guests,Access,Low
We need to buy 100 whiteboard markers,Purchase,Low
The digital signage is frozen on boot screen,Hardware,Low
Invoice #990 is missing tax details,Billing,Medium
I cannot login to Confluence page,Access,High
My computer restarts automatically every hour,Hardware,High
Requesting a back support mesh,Purchase,Low
Is it a holiday on Friday?,HR Support,Low
VPN connection dropped during call,Access,Medium
My laptop runs very hot when compiling,Hardware,Medium
Change the billing entity name for Client A,Billing,Low
Please order a screen cleaning kit,Purchase,Low
I cannot access the recruitment portal,Access,Medium
System requires a restart loop issue,Hardware,High
My headset is uncomfortable for long wear,Purchase,Low
We need a license for LastPass Enterprise,Purchase,Low
Salary slip shows wrong designation title,HR Support,Medium
I need to reset my PIN for the printer,Access,Medium
Fan is not spinning on my laptop,Hardware,High
Quote for new biometric system installation,Purchase,Medium
Customer #881 wants to cancel subscription immediately,Billing,High
How do I claim fuel reimbursement?,HR Support,Low
I need a new access card holder,HR Support,Low
The microwave is sparking inside,Hardware,High
Internet is unstable on the 3rd floor,Hardware,Medium
I need to install VS Code extensions,Access,Low
Grant me access to the client VPN,Access,Medium
Screen is too bright and cannot adjust,Hardware,Low
We need to buy a license for Spotify (Office),Purchase,Low
Where do I submit HRA declaration form?,HR Support,Low
Cannot access the shared printer on network,Access,Medium
The DNS server is not resolving internal sites,Access,High
Shift key is stuck down,Hardware,Low
Requesting a quote for 5 jabra headsets,Purchase,Low
Billing address zip code is wrong on invoice,Billing,Low
I did not receive my referral bonus yet,HR Support,Medium
Email delivery failed to external domain,Access,Medium
I need a replacement for my stolen laptop,Hardware,High
We need to purchase a heavy duty stapler,Purchase,Low
The server room door is jammed shut,Hardware,High
Forgot password for the expense portal,Access,Medium
How many days of leave can I carry over?,HR Support,Low
My laptop freezes on login screen,Hardware,High
Please order 5 extension cords 5m,Purchase,Low
500 Internal Server Error on the api gateway,Access,High
PF deduction is missing from payslip,HR Support,Medium
Audio jack is loose on the laptop,Hardware,Low
We need to renew the domain registration,Purchase,High
Cannot scan to folder smb error,Access,Medium
Payslip amount does not match offer letter,HR Support,High
My USB port is physically broken,Hardware,Medium
I need a wireless charger for phone,Purchase,Low
App crashes when saving files,Access,Medium
Client requested a breakdown of costs,Billing,Low
How do I add a nominee to PF account?,HR Support,Low
The guillotine cutter is blunt,Hardware,Low
I need a license for Premier Pro CC,Purchase,Low
Cannot connect to the secured WiFi,Access,Medium
My desk is wobbly and uneven,Hardware,Low
Please consolidate these two invoices,Billing,Low
I need access to the finance drive,Access,High
Laptop screen has lines running through it,Hardware,Medium
Where can I find the referral policy?,HR Support,Low
I forgot the admin password for local machine,Access,High
We need to buy 10 staplers,Purchase,Low
The smart TV remote is missing,Hardware,Low
Invoice #441 is duplicated in the system,Billing,High
I cannot login to GitHub Enterprise,Access,High
My computer is making a beeping noise on boot,Hardware,Medium
Requesting a wrist rest for keyboard,Purchase,Low
What are the rules for comp off expiry?,HR Support,Low
VPN refuses connection error 619,Access,High
My laptop battery is dead won't charge,Hardware,High
Update the VAT number on invoice #77,Billing,Low
Please order a webcam cover slider,Purchase,Low
I cannot access the training portal,Access,Low
System is infected with malware alert,Access,High
My headset ear cushion is torn,Hardware,Low
We need a license for Zoom Webinar 500,Purchase,Low
Salary deduction without explanation in slip,HR Support,High
I need to reset my key fob access,Access,Medium
Fan is vibrating the whole desk,Hardware,Low
Quote for office renovation painting,Purchase,High
Customer #332 wants to upgrade plan to Pro,Billing,Low
How do I claim relocation expenses?,HR Support,Low
I need a new business card printed,HR Support,Low
The toaster is broken in pantry,Hardware,Low
Internet is slow for upload speed,Hardware,Medium
I need to install MySQL Workbench,Access,Low
Grant me access to the UAT environment,Access,Medium
Screen ghosting issue on monitor 1,Hardware,Low
We need to buy a license for Canva Pro,Purchase,Low
Where do I submit investment declaration?,HR Support,Low
Cannot access the backup drive Z,Access,High
The proxy server is blocking google.com,Access,High
Caps lock light is not working,Hardware,Low
Requesting a quote for a NAS drive,Purchase,Low
Billing contact email bounce back,Billing,Medium
I did not receive my night shift allowance,HR Support,Medium
Email keeps asking for password in Outlook,Access,Medium
I need a replacement for my broken screen,Hardware,Medium
We need to purchase a label printer,Purchase,Low
The server room AC is making rattling noise,Hardware,Medium
Forgot password for the travel portal,Access,Medium
How many leaves do I have pro-rated?,HR Support,Low
My laptop gives electric shocks on body,Hardware,High
Please order 50 AA batteries,Purchase,Low
401 Unauthorized on the gateway,Access,High
Tax calculation error in payslip March,HR Support,Medium
Bluetooth is not working on laptop,Hardware,Low
We need to renew the cloud subscription,Purchase,High
Cannot print in color on Printer 1,Hardware,Low
Payslip is not generated yet for Jan,HR Support,Medium
My external drive is clicking loudly,Hardware,High
I need a laptop cooling pad,Purchase,Low
Program refuses to open error 0xc000,Access,Low
Client wants to pay via wire transfer info,Billing,Low
How do I change my pension scheme?,HR Support,Low
The binding machine is jammed,Hardware,Low
I need a license for Cinema 4D,Purchase,Low
Cannot connect to the VPN from hotel,Access,Medium
My chair gas lift is broken,Hardware,Low
Please correct the date on invoice #22,Billing,Low
I need access to the legal documents folder,Access,High
Laptop keyboard backlight is dead,Hardware,Low
Where can I find the resignation policy?,HR Support,Low
I forgot the server password for dev box,Access,High
We need to buy 5 scissors,Purchase,Low
The projector remote is not working,Hardware,Low
Invoice #665 needs approval form,Billing,Medium
I cannot login to Bitbucket,Access,High
My computer is lagging severely,Hardware,Medium
Requesting a foot pedal for transcription,Purchase,Low
What is the notice period policy?,HR Support,Low
VPN client update required message,Access,Medium
My laptop charger is sparking,Hardware,High
Remove the tax from invoice #88,Billing,Low
Please order a microfiber cloth,Purchase,Low
I cannot access the onboarding portal,Access,Medium
System update stuck at 99 percent,Hardware,Medium
My headset is too tight,Purchase,Low
We need a license for Grammarly Business,Purchase,Low
Salary credited to wrong account number,HR Support,High
I need to reset my physical key,Access,High
Fan is clean but still noisy,Hardware,Low
Quote for new CCTV cameras,Purchase,Medium
Customer #774 wants to downgrade plan,Billing,Low
How do I claim certification cost?,HR Support,Low
I need a new laptop bag,Purchase,Low
The dishwasher is not draining,Hardware,Low
Internet is down in the lobby area,Hardware,Medium
I need to install Postman,Access,Low
Grant me access to the sandbox,Access,Medium
Screen burn-in detected on OLED,Hardware,Low
We need to buy a license for Miro,Purchase,Low
Where do I submit tax proofs?,HR Support,Low
Cannot access the archive folder,Access,Medium
The web server is down 503,Access,High
Num lock key is broken,Hardware,Low
Requesting a quote for a flatbed scanner,Purchase,Low
Billing cycle alignment needed,Billing,Low
I did not receive my performance bonus,HR Support,High
Email font size is too small in outlook,Access,Low
I need a replacement for my keyboard,Hardware,Low
We need to purchase a whiteboard eraser,Purchase,Low
The server rack door is open,Hardware,Low
Forgot password for the procurement portal,Access,Medium
How many sick days are paid?,HR Support,Low
My laptop screen is flickering pink,Hardware,Medium
Please order 10 cat6 network cables,Purchase,Low
400 Bad Request on the API endpoint,Access,Medium
Income tax mismatch in Form 16,HR Support,Medium
Headphone jack is broken inside port,Hardware,Low
We need to renew the maintenance contract,Purchase,High
Cannot print A3 size paper,Hardware,Low
Payslip has incorrect leave balance,HR Support,Low
My SSD is slow read speed,Hardware,Low
I need a document holder for desk,Purchase,Low
App freezes when printing to PDF,Access,Medium
Client #99 asked for invoice copy,Billing,Low
How do I withdraw my PF balance?,HR Support,Low
The hole puncher is broken,Hardware,Low
I need a license for Final Cut Pro,Purchase,Low
Cannot connect to the VPN from mobile,Access,Medium
My chair armrest is loose,Hardware,Low
Please send the receipt for invoice #11,Billing,Low
I need access to the HR confidential folder,Access,High
Laptop bezel is cracked near hinge,Hardware,Low
Where can I find the code of conduct?,HR Support,Low
I forgot the database password,Access,High
We need to buy 20 glue sticks,Purchase,Low
The mic on the podium is broken,Hardware,Medium
Invoice #551 is lost in mail,Billing,Medium
I cannot login to GitLab,Access,High
My computer crashes when playing video,Hardware,Medium
Requesting a lumbar support,Purchase,Low
What is the policy for gift acceptance?,HR Support,Low
VPN token expired error,Access,High
My laptop battery is not charging plugged in,Hardware,High
Add a PO number to invoice #77,Billing,Low
Please order a keyboard cover,Purchase,Low
I cannot access the exit interview link,Access,Medium
System clock is wrong on server,Access,Low
My headset is mutable but not unmutable,Hardware,Low
We need a license for 1Password,Purchase,Low
Salary hold due to attendance issue,HR Support,High
I need to reset my smart card,Access,High
Fan speed is uncontrollable,Hardware,Low
Quote for new meeting table,Purchase,Medium
Customer #552 is disputing charges,Billing,High
How do I claim food allowance?,HR Support,Low
I need a new security token,Access,High
The fridge is not cooling in pantry,Hardware,Low
Internet is intermittent on WiFi,Hardware,Medium
I need to install Ruby on Rails,Access,Low
Grant me access to the demo environment,Access,Medium
Screen has a vertical line pixel,Hardware,Medium
We need to buy a license for AirTable,Purchase,Low
Where do I submit rent receipts?,HR Support,Low
Cannot access the public folder,Access,Low
The FTP server is slow transfer,Access,Medium
Delete key is stuck on keyboard,Hardware,Low
Requesting a quote for a paper shredder,Purchase,Low
Billing period is wrong on invoice,Billing,Low
I did not receive my conveyance allowance,HR Support,Medium
Email attachments are blocked by policy,Access,Medium
I need a replacement for my mouse pad,Purchase,Low
We need to purchase a cable organizer,Purchase,Low
The server room light is out,Hardware,Low
Forgot password for the learning portal,Access,Medium
How many maternity leaves are allowed?,HR Support,Low
My laptop is making a grinding noise,Hardware,High
Please order 5 power strips,Purchase,Low
408 Request Timeout on server,Access,Medium
Tax code is wrong on payslip,HR Support,Medium
Speakers are buzzing noise,Hardware,Low
We need to renew the office lease,Purchase,High
Cannot print from Chrome browser,Access,Low
Payslip shows zero earnings error,HR Support,High
My flash drive is write protected,Hardware,Low
I need a privacy filter 15 inch,Purchase,Low
Program crashes on startup error,Access,Medium
Client #12 wants to pay by check,Billing,Low
How do I update my address in HR records?,HR Support,Low
The stapler is jammed constantly,Hardware,Low
I need a license for CorelDraw,Purchase,Low
Cannot connect to the VPN via hotspot,Access,Medium
My chair backrest is broken,Hardware,Low
Please void invoice #44,Billing,Medium
I need access to the strategy documents,Access,High
Laptop rubber feet are missing,Hardware,Low
Where can I find the safety manual?,HR Support,Low
I forgot the wifi user guest,Access,Low
We need to buy 100 paper clips,Purchase,Low
The HDMI port on the TV is broken,Hardware,Medium
Invoice #332 is underpaid by client,Billing,Medium
I cannot login to Azure DevOps,Access,High
My computer is infected with a virus,Access,High
Requesting a desk lamp LED,Purchase,Low
What is the policy for sabbaticals?,HR Support,Low
VPN client is outdated update needed,Access,Medium
My laptop shuts down at 20% battery,Hardware,Medium
Change the date on invoice #99,Billing,Low
Please order a screen wipe cloth,Purchase,Low
I cannot access the survey tool,Access,Low
System fan error on boot,Hardware,High
My headset has static noise,Hardware,Low
We need a license for Dropbox Business,Purchase,Low
Salary delayed by 2 days why?,HR Support,Medium
I need to reset my password manager master,Access,High
Fan is making a clicking sound,Hardware,Low
Quote for new reception desk,Purchase,Medium
Customer #993 requests a pro-forma invoice,Billing,Low
How do I claim telephone reimbursement?,HR Support,Low
I need a new gym membership card,HR Support,Low
The kettle is broken in kitchen,Hardware,Low
Internet is slow in the lab area,Hardware,Medium
I need to install Git Bash,Access,Low
Grant me access to the production DB,Access,High
Screen has a dead pixel center,Hardware,Low
We need to buy a license for LucidChart,Purchase,Low
Where do I submit tax saving documents?,HR Support,Low
Cannot access the team folder,Access,Medium
The mail server is down 500 error,Access,High
Tab key is broken on keyboard,Hardware,Low
Requesting a quote for a plotter printer,Purchase,Low
Billing contact name is wrong,Billing,Low
I did not receive my holiday pay,HR Support,High
Email images are not loading,Access,Low
I need a replacement for my laptop battery,Hardware,Medium
We need to purchase a desk organizer,Purchase,Low
The server room floor is wet,Hardware,High
Forgot password for the insurance portal,Access,Medium
How many days of paternity leave?,HR Support,Low
My laptop screen is loose hinge,Hardware,Medium
Please order 2 extension cables,Purchase,Low
503 Service Unavailable on website,Access,High
Tax deducted but not reflected in portal,HR Support,High
Microphone is mute permanently,Hardware,Low
We need to renew the gym membership,Purchase,Low
Cannot print to PDF driver missing,Access,Low
Payslip font is unreadable,HR Support,Low
My external SSD is overheating,Hardware,Medium
I need a laptop stand with fan,Purchase,Low
App is slow to respond lag,Access,Low
Client #55 has not paid invoice #12,Billing,High
How do I change my bank for salary?,HR Support,Low
The scissors are dull,Hardware,Low
I need a license for Maya 3D,Purchase,Low
Cannot connect to the VPN from airport,Access,Medium
My chair is squeaking loudly,Hardware,Low
Please resend invoice #66,Billing,Low
I need access to the audit logs,Access,High
Laptop paint is chipping off,Hardware,Low
Where can I find the social media policy?,HR Support,Low
I forgot the api key secret,Access,Medium
We need to buy 50 rubber bands,Purchase,Low
The projector is overheating shutdown,Hardware,Medium
Invoice #221 has arithmetic error,Billing,Medium
I cannot login to Trello,Access,Medium
My computer has a black screen,Hardware,High
Requesting a monitor riser,Purchase,Low
What is the policy for moonlighting?,HR Support,Low
VPN certificate expired renew,Access,High
My laptop battery is bulging dangerous,Hardware,High
Remove the discount from invoice #44,Billing,Low
Please order a cleaning spray,Purchase,Low
I cannot access the feedback form,Access,Low
System keeps rebooting loop,Hardware,High
My headset mic is loose,Hardware,Low
We need a license for Evernote,Purchase,Low
Salary includes unauthorized deduction,HR Support,High
I need to reset my 2FA google auth,Access,High
Fan is always on max speed,Hardware,Low
Quote for new carpet installation,Purchase,Low
Customer #662 wants to pay via PayPal,Billing,Low
How do I claim book allowance?,HR Support,Low
I need a new parking tag,HR Support,Low
The fan in the pantry is broken,Hardware,Low
Internet is slow for download,Hardware,Medium
I need to install Java JDK,Access,Low
Grant me access to the test server,Access,Medium
Screen is tinted yellow,Hardware,Low
We need to buy a license for Basecamp,Purchase,Low
Where do I submit flexi benefit plan?,HR Support,Low
Cannot access the archive drive,Access,Low
The NTP server is unreachable,Access,Medium
Esc key is not working,Hardware,Low
Requesting a quote for a DSLR camera,Purchase,Low
Billing address is incomplete,Billing,Low
I did not receive my bonus letter,HR Support,Low
Email is slow to send out,Access,Low
I need a replacement for my headset,Hardware,Low
We need to purchase a file cabinet,Purchase,Low
The server room humidity is high,Hardware,High
Forgot password for the payroll system,Access,High
How many days of bereavement leave?,HR Support,Low
My laptop is missing a screw,Hardware,Low
Please order 10 USB drives 32GB,Purchase,Low
504 Gateway Timeout error,Access,High
Tax receipt is missing for Jan,HR Support,Medium
Headphones are too quiet max vol,Hardware,Low
We need to renew the internet plan,Purchase,High
Cannot print envelope size,Hardware,Low
Payslip needs a company stamp,HR Support,Low
My SD card is stuck in slot,Hardware,Low
I need a tablet stand,Purchase,Low
App crashes on save action,Access,Medium
Client #77 is asking for credit terms,Billing,Medium
How do I change my tax regime?,HR Support,Low
The tape dispenser is broken,Hardware,Low
I need a license for Blender,Purchase,Low
Cannot connect to the VPN from cafe,Access,Medium
My chair fabric is torn,Hardware,Low
Please issue a refund for invoice #88,Billing,Medium
I need access to the board meeting minutes,Access,High
Laptop connects to wifi but no internet,Access,Medium
Where can I find the whistleblower policy?,HR Support,Low
I forgot the master password for DB,Access,High
We need to buy 20 sticky notes,Purchase,Low
The TV has no signal HDMI,Hardware,Low
Invoice #112 is fraudulent,Billing,High
I cannot login to Slack desktop,Access,High
My computer is very hot to touch,Hardware,High
Requesting a gel mouse pad,Purchase,Low
What is the policy for dating coworkers?,HR Support,Low
VPN is slow latency high,Access,Medium
My laptop battery charge fluctuates,Hardware,Medium
Add a comment to invoice #33,Billing,Low
Please order a dusting brush,Purchase,Low
I cannot access the voting system,Access,Low
System hangs on shutdown screen,Hardware,Low
My headset is broken in half,Hardware,Medium
We need a license for Notion Team,Purchase,Low
Salary credited twice error,HR Support,High
I need to reset my authenticator app,Access,High
Fan is making a whistling noise,Hardware,Low
Quote for new blinds for office,Purchase,Low
Customer #442 wants to extend payment terms,Billing,Medium
How do I claim newspaper allowance?,HR Support,Low
I need a new locker key,HR Support,Low
The stove is not working,Hardware,Low
Internet is restricted firewall,Access,Medium
I need to install C++ compiler,Access,Low
Grant me access to the devops tools,Access,High
Screen is scratched badly,Hardware,Low
We need to buy a license for Typeform,Purchase,Low
Where do I submit rent agreement copy?,HR Support,Low
Cannot access the private folder,Access,High
The DHCP server is full no IP,Access,High
Home key is stuck on keyboard,Hardware,Low
Requesting a quote for a drone,Purchase,Low
Billing state is wrong on invoice,Billing,Low
I did not receive my confirmation letter,HR Support,Medium
Email is marking good mail as spam,Access,Medium
I need a replacement for my docking station,Hardware,Medium
We need to purchase a coat rack,Purchase,Low
The server room is dirty dust,Hardware,Low
Forgot password for the crm system,Access,High
How many days of marriage leave?,HR Support,Low
My laptop touchpad is erratic jumping,Hardware,Medium
Please order 3 displayport cables,Purchase,Low
Connection refused error 111,Access,High
Tax statement is unclear,HR Support,Low
Speakers are popping sound,Hardware,Low
We need to renew the cleaning contract,Purchase,Low
Cannot print label size,Hardware,Low
Payslip is formatted wrong,HR Support,Low
My memory card is unreadable,Hardware,Medium
I need a phone stand for desk,Purchase,Low
App is unresponsive frozen,Access,Medium
Client #33 has a question about invoice #55,Billing,Low
How do I update my mobile number?,HR Support,Low
The glue gun is broken,Hardware,Low
I need a license for Unity Pro,Purchase,Low
Cannot connect to the VPN from train,Access,Medium
My chair is sinking automatically,Hardware,Low
Please cancel invoice #01,Billing,Medium
I need access to the ceo folder,Access,High
Laptop camera is blurry image,Hardware,Low
Where can I find the ip policy?,HR Support,Low
My mechanical keyboard has a chattering key,Hardware,Low
I need to download my provident fund statement,HR Support,Low
Where can I find the updated travel policy?,HR Support,Low
I cannot SSH into the staging server,Access,High
Reset my password for the Gitlab account,Access,High
We need to order 5 vertical mice for the design team,Purchase,Low
My trackpad gesture controls are not working,Hardware,Low
Requesting a license for Adobe After Effects,Purchase,Low
How do I apply for study leave?,HR Support,Low
The 3D printer nozzle is clogged,Hardware,Medium
I need a new power cord for my monitor,Hardware,Low
Portal for tax investment submission is slow,HR Support,Medium
Please unlock my VPN account,Access,High
WiFi signal is dropping in the cafeteria,Hardware,Medium
I need a headset with a retractable mic,Purchase,Low
Invoice #2021 has an incorrect service date,Billing,Medium
Client #303 wants to change the billing currency,Billing,Low
I cannot access the payroll reports,Access,High
System says 'Account Suspended' on login,Access,High
My webcam keeps freezing during calls,Hardware,Medium
I want to check my comp off balance,HR Support,Low
Please buy a license for PyCharm Professional,Purchase,Low
Laptop overheats when running Docker,Hardware,High
Refund status for duplicate payment #8812?,Billing,Medium
Permission denied when accessing /etc/hosts,Access,High
I need my salary slip for the last 3 months,HR Support,Low
The biometric scanner is not accepting my fingerprint,Hardware,Medium
We need 3 height-adjustable desks,Purchase,Low
Unrecognized charge on the corporate Amex,Billing,High
Slack desktop app is unresponsive,Access,Medium
My monitor has a vertical blue line,Hardware,Low
What is the policy for client dinner expensing?,HR Support,Low
Urgent: Server room UPS is beeping alarm,Hardware,High
I need read access to the production bucket,Access,Medium
Payment gateway error 500 for Order #221,Billing,High
Requesting a new set of whiteboard markers,Purchase,Low
How do I update my residential address?,HR Support,Low
VPN connects but no internet access,Access,High
Docking station ethernet port is dead,Hardware,Medium
Update the PO number for invoice #101,Billing,Low
Please order a bluetooth dongle,Purchase,Low
I cannot view my performance appraisal,HR Support,Medium
Account locked due to expiry,Access,High
The projector color wheel is noisy,Hardware,Medium
We need a subscription for Sketch Cloud,Purchase,Low
Salary was credited without the bonus,HR Support,High
I need to reset my YubiKey,Access,High
The CPU fan is spinning at max speed constantly,Hardware,Medium
Quote needed for 32GB RAM upgrade,Purchase,Low
Customer demands refund for billing error,Billing,Medium
How do I claim gym membership reimbursement?,HR Support,Low
I lost my office keys,HR Support,Medium
The water cooler is leaking on the floor,Hardware,High
Internet is down for the finance team,Hardware,High
I need admin access on the jira project,Access,Medium
Grant me access to the private wiki space,Access,Medium
Screen is flickering when on battery power,Hardware,High
We need to buy a license for Monday.com Pro,Purchase,Low
Where do I upload my medical certificates?,HR Support,Low
Cannot map the network drive Y:,Access,Medium
The main database is locked,Access,High
Keyboard key 'Enter' is sticking,Hardware,Low
Requesting a quote for 10 Android tablets,Purchase,Low
Billing cycle change request for Client Alpha,Billing,Low
I did not receive my shift allowance for Dec,HR Support,High
Email is not syncing on iPhone,Access,Medium
I need a replacement for my laptop sleeve,Hardware,Low
We need a new router for the conference room,Purchase,Medium
AC in the server room is dripping,Hardware,High
Forgot username for the travel booking tool,Access,Medium
How many emergency leaves do I have?,HR Support,Low
My laptop shuts down randomly,Hardware,High
Please order 50 Cat6 cables,Purchase,Low
404 error on the HR portal homepage,Access,Medium
Tax deduction is missing from payslip,HR Support,Medium
Microphone is echoing on Teams,Hardware,Low
We need to renew our domain name registration,Purchase,High
Cannot print from the guest network,Access,Medium
Payslip PDF password is incorrect,HR Support,Low
My external SSD is not recognized by Mac,Hardware,Medium
I need a 27 inch monitor for coding,Purchase,Low
Software update failed with error 1618,Access,Medium
Client was charged for shipping by mistake,Billing,High
How do I add my spouse to the health plan?,HR Support,Low
The shredder is overheating,Hardware,Low
I need a license for Microsoft Visio Pro,Purchase,Low
Cannot connect to the office VPN from hotel,Access,Medium
My chair lumbar support is broken,Hardware,Low
Please update the billing contact name,Billing,Low
I need access to the audit logs folder,Access,High
Laptop screen hinge is cracking,Hardware,Medium
Where can I find the mileage reimbursement form?,HR Support,Low
I forgot the password for the root user,Access,High
We need to buy 100 blue pens,Purchase,Low
The conference speakerphone is dead,Hardware,Medium
Invoice #992 is 60 days overdue,Billing,Medium
I cannot login to Salesforce Production,Access,High
My computer freezes when opening Photoshop,Hardware,Medium
Requesting a foot rest for under desk,Purchase,Low
Is there a specific dress code for client visits?,HR Support,Low
VPN client says 'Authentication Failed',Access,High
My laptop battery drains in 1 hour,Hardware,High
Update address on the next invoice #442,Billing,Low
